url_bollettino;data;codice_regione;denominazione_regione;codice_provincia;denominazione_provincia;sigla_provincia;lat;long;nuovi_casi;casi_totali;ospite_recettivo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_09.pdf;2017-10-11;8;Emilia-Romagna;36;Modena;MO;44,64600009;10,92615487;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_09.pdf;2017-10-11;20;Sardegna;95;Oristano;OR;39,90381075;8,591183151;0;4;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_09.pdf;2017-10-11;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_09.pdf;2017-10-11;5;Veneto;29;Rovigo;RO;45,07107289;11,79007;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_09.pdf;2017-10-11;5;Veneto;26;Treviso;TV;45,66754571;12,24507363;1;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_09.pdf;2017-10-11;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;9;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;17;Brescia;BS;45,53993052;10,21910323;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;13;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;20;Mantova;MN;45,15726772;10,79277363;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;36;Modena;MO;44,64600009;10,92615487;0;11;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;1;Piemonte;3;Novara;NO;45,44588506;8,621915884;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;28;Padova;PD;45,40692987;11,87608718;0;3;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;18;Pavia;PV;45,18509264;9,160157191;0;3;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;33;Piacenza;PC;45,05193462;9,692632596;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;39;Ravenna;RA;44,41722493;12,19913936;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;10;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;29;Rovigo;RO;45,07107289;11,79007;0;5;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;26;Treviso;TV;45,66754571;12,24507363;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;10;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;23;Verona;VR;45,43839046;10,99352685;0;3;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;1;Piemonte;5;Asti;AT;44,89912921;8,204142547;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;1;Piemonte;4;Cuneo;CN;44,39329625;7,551171632;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;9;Toscana;53;Grosseto;GR;42,76026758;11,11356398;0;4;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;9;Toscana;49;Livorno;LI;43,55234873;10,3086781;4;15;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;20;Sardegna;95;Oristano;OR;39,90381075;8,591183151;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;28;Padova;PD;45,40692987;11,87608718;0;28;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;29;Rovigo;RO;45,07107289;11,79007;0;15;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;1;10;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;23;Verona;VR;45,43839046;10,99352685;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;12;Lazio;56;Viterbo;VT;42,4173828;12,10473416;0;3;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;19;Cremona;CR;45,13336675;10,02420865;1;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;98;Lodi;LO;45,31440693;9,503720769;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;20;Sardegna;106;Medio Campidano;VS;39,56296;8,65345;3;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;15;Milano;MI;45,46679409;9,190347404;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;20;Sardegna;95;Oristano;OR;39,90381075;8,591183151;0;2;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;33;Piacenza;PC;45,05193462;9,692632596;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;39;Ravenna;RA;44,41722493;12,19913936;0;4;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;4;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;4;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;4;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;4;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;1;Piemonte;2;Vercelli;VC;45,32398135;8,423234312;0;2;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;4;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;9;Toscana;49;Livorno;LI;43,55234873;10,3086781;0;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;98;Lodi;LO;45,31440693;9,503720769;0;1;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;3;Lombardia;15;Milano;MI;45,46679409;9,190347404;0;1;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;36;Modena;MO;44,64600009;10,92615487;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;20;Sardegna;95;Oristano;OR;39,90381075;8,591183151;0;4;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;29;Rovigo;RO;45,07107289;11,79007;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;26;Treviso;TV;45,66754571;12,24507363;0;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_10.pdf;2017-10-18;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;9;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;17;Brescia;BS;45,53993052;10,21910323;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;13;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;20;Mantova;MN;45,15726772;10,79277363;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;36;Modena;MO;44,64600009;10,92615487;0;11;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;1;Piemonte;3;Novara;NO;45,44588506;8,621915884;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;28;Padova;PD;45,40692987;11,87608718;0;3;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;18;Pavia;PV;45,18509264;9,160157191;0;3;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;33;Piacenza;PC;45,05193462;9,692632596;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;39;Ravenna;RA;44,41722493;12,19913936;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;10;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;29;Rovigo;RO;45,07107289;11,79007;0;5;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;26;Treviso;TV;45,66754571;12,24507363;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;10;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;23;Verona;VR;45,43839046;10,99352685;0;3;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;1;Piemonte;5;Asti;AT;44,89912921;8,204142547;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;1;Piemonte;4;Cuneo;CN;44,39329625;7,551171632;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;9;Toscana;53;Grosseto;GR;42,76026758;11,11356398;0;4;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;9;Toscana;49;Livorno;LI;43,55234873;10,3086781;0;15;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;20;Sardegna;95;Oristano;OR;39,90381075;8,591183151;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;28;Padova;PD;45,40692987;11,87608718;0;28;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;29;Rovigo;RO;45,07107289;11,79007;0;15;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;10;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;23;Verona;VR;45,43839046;10,99352685;0;1;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;12;Lazio;56;Viterbo;VT;42,4173828;12,10473416;0;3;Equidi
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;19;Cremona;CR;45,13336675;10,02420865;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;98;Lodi;LO;45,31440693;9,503720769;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;20;Sardegna;106;Medio Campidano;VS;39,56296;8,65345;0;3;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;15;Milano;MI;45,46679409;9,190347404;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;20;Sardegna;95;Oristano;OR;39,90381075;8,591183151;0;2;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;33;Piacenza;PC;45,05193462;9,692632596;0;1;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;39;Ravenna;RA;44,41722493;12,19913936;0;4;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;4;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;1;5;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;5;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;5;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;1;Piemonte;2;Vercelli;VC;45,32398135;8,423234312;0;2;Uccelli
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;4;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;9;Toscana;49;Livorno;LI;43,55234873;10,3086781;0;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;98;Lodi;LO;45,31440693;9,503720769;0;1;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;3;Lombardia;15;Milano;MI;45,46679409;9,190347404;0;1;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;36;Modena;MO;44,64600009;10,92615487;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;20;Sardegna;95;Oristano;OR;39,90381075;8,591183151;0;4;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;8;Emilia-Romagna;35;Reggio nell'Emilia;RE;44,69735289;10,63007973;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;29;Rovigo;RO;45,07107289;11,79007;0;3;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;26;Treviso;TV;45,66754571;12,24507363;0;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_11.pdf;2017-10-25;5;Veneto;27;Venezia;VE;45,43490485;12,33845213;0;2;Uomo
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf;2017-11-02;8;Emilia-Romagna;37;Bologna;BO;44,49436681;11,3417208;0;9;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf;2017-11-02;3;Lombardia;17;Brescia;BS;45,53993052;10,21910323;0;1;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf;2017-11-02;8;Emilia-Romagna;38;Ferrara;FE;44,83599085;11,61868934;0;13;Zanzare
https://github.com/fbranda/west-nile/blob/main/2017/bollettini/WN_News_2017_12.pdf;2017-11-02;3;Lombardia;20;Mantova;MN;45,15726772;10,79277363;0;1;Zanzare
